Ion,Adsorbent,,,Operating temperature(K),Initial pH,Initial Conc. (ppm),Contact time(min),Adsorbent dosage(g/mL),Solution,Removal efficiency(%),Research Paper
Ni,Nano Bentonite,,,298,6,50,117.32,0.0005,Aqueous,95.35,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,52.23,120,0.0005,Aqueous,95.86,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,58.57,120,0.0005,Aqueous,95.39,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,64.92,120,0.0005,Aqueous,95.05,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,71.27,120,0.0005,Aqueous,94.67,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,77.62,120,0.0005,Aqueous,94.34,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,83.97,120,0.0005,Aqueous,93.88,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,90.31,120,0.0005,Aqueous,93.46,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,96.66,120,0.0005,Aqueous,93.08,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,103.01,120,0.0005,Aqueous,92.68,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,109.36,120,0.0005,Aqueous,92.23,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,115.7,120,0.0005,Aqueous,91.79,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,122.05,120,0.0005,Aqueous,91.34,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,128.4,120,0.0005,Aqueous,90.9,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,134.75,120,0.0005,Aqueous,90.45,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,141.1,120,0.0005,Aqueous,90.02,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,147.44,120,0.0005,Aqueous,89.64,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,153.79,120,0.0005,Aqueous,89.21,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,160.14,120,0.0005,Aqueous,88.83,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,166.49,120,0.0005,Aqueous,88.48,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,172.83,120,0.0005,Aqueous,88.12,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,179.18,120,0.0005,Aqueous,87.78,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,185.53,120,0.0005,Aqueous,87.44,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,191.88,120,0.0005,Aqueous,87.11,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,198.23,120,0.0005,Aqueous,86.68,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,204.57,120,0.0005,Aqueous,86.43,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,210.92,120,0.0005,Aqueous,86.12,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,217.27,120,0.0005,Aqueous,85.8,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,223.62,120,0.0005,Aqueous,85.48,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,229.96,120,0.0005,Aqueous,85.17,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,236.31,120,0.0005,Aqueous,84.85,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,242.66,120,0.0005,Aqueous,84.54,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,248.81,120,0.0005,Aqueous,84.23,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,3.05,100,120,0.0005,Aqueous,86.76,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,3.27,100,120,0.0005,Aqueous,87.32,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,3.5,100,120,0.0005,Aqueous,87.77,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,3.72,100,120,0.0005,Aqueous,88.23,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,3.95,100,120,0.0005,Aqueous,88.71,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,4.17,100,120,0.0005,Aqueous,89.15,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,4.4,100,120,0.0005,Aqueous,89.6,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,4.62,100,120,0.0005,Aqueous,90.05,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,4.85,100,120,0.0005,Aqueous,90.52,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,5.07,100,120,0.0005,Aqueous,91.06,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,5.3,100,120,0.0005,Aqueous,91.93,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,5.52,100,120,0.0005,Aqueous,92.73,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,5.75,100,120,0.0005,Aqueous,93.25,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,5.97,100,120,0.0005,Aqueous,92.92,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6.18,100,120,0.0005,Aqueous,91.6,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6.34,100,120,0.0005,Aqueous,90.09,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6.46,100,120,0.0005,Aqueous,88.5,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6.59,100,120,0.0005,Aqueous,86.86,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6.72,100,120,0.0005,Aqueous,85.19,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6.85,100,120,0.0005,Aqueous,83.57,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6.96,100,120,0.0005,Aqueous,82.25,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298.14,6,100,120,0.0005,Aqueous,92.88,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298.91,6,100,120,0.0005,Aqueous,93.03,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,299.67,6,100,120,0.0005,Aqueous,93.17,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,300.44,6,100,120,0.0005,Aqueous,93.3,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,301.2,6,100,120,0.0005,Aqueous,93.45,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,301.97,6,100,120,0.0005,Aqueous,93.62,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,302.73,6,100,120,0.0005,Aqueous,93.8,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,303.5,6,100,120,0.0005,Aqueous,94.05,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,304.26,6,100,120,0.0005,Aqueous,94.34,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,305.03,6,100,120,0.0005,Aqueous,94.65,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,305.79,6,100,120,0.0005,Aqueous,94.98,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,306.56,6,100,120,0.0005,Aqueous,95.32,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,307.32,6,100,120,0.0005,Aqueous,95.68,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,308.09,6,100,120,0.0005,Aqueous,95.95,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,308.85,6,100,120,0.0005,Aqueous,96.33,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,309.62,6,100,120,0.0005,Aqueous,96.72,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,310.38,6,100,120,0.0005,Aqueous,97.11,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,311.15,6,100,120,0.0005,Aqueous,97.44,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,311.91,6,100,120,0.0005,Aqueous,97.7,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,312.68,6,100,120,0.0005,Aqueous,97.88,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,313.44,6,100,120,0.0005,Aqueous,98.03,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,314.21,6,100,120,0.0005,Aqueous,98.17,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,314.97,6,100,120,0.0005,Aqueous,98.28,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,315.74,6,100,120,0.0005,Aqueous,98.36,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,316.5,6,100,120,0.0005,Aqueous,98.44,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,317.27,6,100,120,0.0005,Aqueous,98.51,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,318.03,6,100,120,0.0005,Aqueous,98.58,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,318.8,6,100,120,0.0005,Aqueous,98.63,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,319.56,6,100,120,0.0005,Aqueous,98.7,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,320.33,6,100,120,0.0005,Aqueous,98.76,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,321.09,6,100,120,0.0005,Aqueous,98.82,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,321.86,6,100,120,0.0005,Aqueous,98.9,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,322.62,6,100,120,0.0005,Aqueous,98.97,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Bentonite,,,298.51,5,50,120,0.002,Aqueous,77.86,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.14
Ni,Bentonite,,,299.28,5,50,120,0.002,Aqueous,78.43,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.15
Ni,Bentonite,,,300.04,5,50,120,0.002,Aqueous,78.98,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.16
Ni,Bentonite,,,300.81,5,50,120,0.002,Aqueous,79.53,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.17
Ni,Bentonite,,,301.57,5,50,120,0.002,Aqueous,80.04,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.18
Ni,Bentonite,,,302.34,5,50,120,0.002,Aqueous,80.54,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.19
Ni,Bentonite,,,303.1,5,50,120,0.002,Aqueous,80.97,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.20
Ni,Bentonite,,,303.87,5,50,120,0.002,Aqueous,81.43,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.21
Ni,Bentonite,,,304.63,5,50,120,0.002,Aqueous,81.82,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.22
Ni,Bentonite,,,305.38,5,50,120,0.002,Aqueous,82.23,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.23
Ni,Bentonite,,,306.16,5,50,120,0.002,Aqueous,82.65,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.24
Ni,Bentonite,,,306.93,5,50,120,0.002,Aqueous,83.06,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.25
Ni,Bentonite,,,307.69,5,50,120,0.002,Aqueous,83.55,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.26
Ni,Bentonite,,,308.46,5,50,120,0.002,Aqueous,84.01,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.27
Ni,Bentonite,,,309.23,5,50,120,0.002,Aqueous,84.55,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.28
Ni,Bentonite,,,309.99,5,50,120,0.002,Aqueous,85.14,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.29
Ni,Bentonite,,,310.76,5,50,120,0.002,Aqueous,85.74,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.30
Ni,Bentonite,,,311.5,5,50,120,0.002,Aqueous,86.36,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.31
Ni,Bentonite,,,312.29,5,50,120,0.002,Aqueous,87.01,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.32
Ni,Bentonite,,,312.92,5,50,120,0.002,Aqueous,87.6,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.33
Ni,Bentonite,,,298.41,5,100,120,0.002,Aqueous,70.11,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.34
Ni,Bentonite,,,299.01,5,100,120,0.002,Aqueous,71.36,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.35
Ni,Bentonite,,,299.7,5,100,120,0.002,Aqueous,72.77,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.36
Ni,Bentonite,,,300.4,5,100,120,0.002,Aqueous,74.06,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.37
Ni,Bentonite,,,301.14,5,100,120,0.002,Aqueous,75.32,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.38
Ni,Bentonite,,,301.91,5,100,120,0.002,Aqueous,76.59,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.39
Ni,Bentonite,,,302.67,5,100,120,0.002,Aqueous,77.65,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.40
Ni,Bentonite,,,303.44,5,100,120,0.002,Aqueous,78.56,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.41
Ni,Bentonite,,,304.2,5,100,120,0.002,Aqueous,79.3,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.42
Ni,Bentonite,,,304.97,5,100,120,0.002,Aqueous,79.9,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.43
Ni,Bentonite,,,305.75,5,100,120,0.002,Aqueous,80.38,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.44
Ni,Bentonite,,,306.5,5,100,120,0.002,Aqueous,80.76,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.45
Ni,Bentonite,,,307.26,5,100,120,0.002,Aqueous,81.1,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.46
Ni,Bentonite,,,308.06,5,100,120,0.002,Aqueous,81.48,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.47
Ni,Bentonite,,,308.79,5,100,120,0.002,Aqueous,81.73,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.48
Ni,Bentonite,,,309.56,5,100,120,0.002,Aqueous,82.05,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.49
Ni,Bentonite,,,310.32,5,100,120,0.002,Aqueous,82.41,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.50
Ni,Bentonite,,,311.09,5,100,120,0.002,Aqueous,82.72,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.51
Ni,Bentonite,,,311.85,5,100,120,0.002,Aqueous,83.07,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.52
Ni,Bentonite,,,312.52,5,100,120,0.002,Aqueous,83.34,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.53
Ni,Bentonite,,,298.38,5,200,120,0.002,Aqueous,65.25,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.54
Ni,Bentonite,,,298.98,5,200,120,0.002,Aqueous,66.59,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.55
Ni,Bentonite,,,299.58,5,200,120,0.002,Aqueous,67.92,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.56
Ni,Bentonite,,,300.2,5,200,120,0.002,Aqueous,69.24,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.57
Ni,Bentonite,,,300.87,5,200,120,0.002,Aqueous,70.55,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.58
Ni,Bentonite,,,301.59,5,200,120,0.002,Aqueous,71.88,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.59
Ni,Bentonite,,,302.33,5,200,120,0.002,Aqueous,73.08,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.60
Ni,Bentonite,,,303.1,5,200,120,0.002,Aqueous,74.15,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.61
Ni,Bentonite,,,303.86,5,200,120,0.002,Aqueous,75.03,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.62
Ni,Bentonite,,,304.63,5,200,120,0.002,Aqueous,75.73,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.63
Ni,Bentonite,,,305.4,5,200,120,0.002,Aqueous,76.25,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.64
Ni,Bentonite,,,306.16,5,200,120,0.002,Aqueous,76.7,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.65
Ni,Bentonite,,,306.93,5,200,120,0.002,Aqueous,77.06,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.66
Ni,Bentonite,,,307.56,5,200,120,0.002,Aqueous,77.32,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.67
Ni,Bentonite,,,308.46,5,200,120,0.002,Aqueous,77.65,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.68
Ni,Bentonite,,,309.22,5,200,120,0.002,Aqueous,77.96,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.69
Ni,Bentonite,,,309.99,5,200,120,0.002,Aqueous,78.27,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.70
Ni,Bentonite,,,310.75,5,200,120,0.002,Aqueous,78.58,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.71
Ni,Bentonite,,,311.52,5,200,120,0.002,Aqueous,78.89,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.72
Ni,Bentonite,,,312.28,5,200,120,0.002,Aqueous,79.19,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.73
Ni,Bentonite,,,312.69,5,200,120,0.002,Aqueous,79.31,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.74
Ni,Bentonite,,,298.6,5,300,120,0.002,Aqueous,64.7,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.75
Ni,Bentonite,,,299.36,5,300,120,0.002,Aqueous,65.65,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.76
Ni,Bentonite,,,300.13,5,300,120,0.002,Aqueous,66.52,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.77
Ni,Bentonite,,,300.9,5,300,120,0.002,Aqueous,67.35,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.78
Ni,Bentonite,,,301.66,5,300,120,0.002,Aqueous,68.09,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.79
Ni,Bentonite,,,302.43,5,300,120,0.002,Aqueous,68.78,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.80
Ni,Bentonite,,,303.19,5,300,120,0.002,Aqueous,69.42,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.81
Ni,Bentonite,,,303.96,5,300,120,0.002,Aqueous,69.91,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.82
Ni,Bentonite,,,304.72,5,300,120,0.002,Aqueous,70.33,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.83
Ni,Bentonite,,,305.49,5,300,120,0.002,Aqueous,70.67,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.84
Ni,Bentonite,,,306.25,5,300,120,0.002,Aqueous,70.96,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.85
Ni,Bentonite,,,307.02,5,300,120,0.002,Aqueous,71.26,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.86
Ni,Bentonite,,,307.78,5,300,120,0.002,Aqueous,71.49,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.87
Ni,Bentonite,,,308.55,5,300,120,0.002,Aqueous,71.72,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.88
Ni,Bentonite,,,309.31,5,300,120,0.002,Aqueous,71.96,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.89
Ni,Bentonite,,,310.08,5,300,120,0.002,Aqueous,72.16,https://www.sciencepublishinggroup.com/article/10.11648/j.ijee.20170204.90
